text,label_int
"If ""B"" movies, tired and corny scripts, and golf carts dressed up as some sort of futuristic mode of transport are your sort of entertainment, you'll probably enjoy this. Otherwise, forget it. The topless newsreader, though completely irrelevant, did give a few seconds of amusement.",0
"I've just finished viewing the 1st disc in a 4-disc (26 episodes) collection created in conjunction with the UCLA Film & Television Archive (S'More Entertainment, Inc.). So far (aside from the 1st episode), the image quality is quite good. The DVD box is shown on the title page here on IMDb.<br /><br />""Mr. Peepers"" is just as charming as when I first saw it (5-years old at the time) and Wally Cox is truly endearing in this role. If you're in the mood for quiet comedy that sneaks up on you, as opposed to hitting you over the head, you'll treasure this chance to experience all the wonderful characters you might remember from your childhood. Although some of the gags are a bit corny, most are ingenious and well-executed...and even the corny ones are fun. This is one TV series that lives up to my early childhood memories of it.",1
"I think that Mario Van Peebles movie Posse is a very important film. It is an excellent entry point film to a side of history many are not aware of. This is a story of early black settlers, cow boys and infantrymen returning from the Spanish-American War with a cache of gold. The main character Peebles is haunted by memories of his murdered father. The racism applied to the new black settlers and infantryman is explored in this film with excellent casting including Melvin Van Peebles (Marios father), Billy Zane, Stephen Baldwin and a wonderful performance by Big Daddy Kane. <br /><br />One senses that Peeples strived to use as many notable black (and some not so notable - smile) actors as possible : ) Perhaps too many, some notable persons (Issac Hayes, Pamela Grier) are only scene in cameo, others briefly such as Tone Loc. The sentiment and efforts of Peebles efforts to expose these actors will be understood by some. The large cast (a feat for any director) work well and do a good job of telling the story in the classic ""revenge and fight vs justice"" western.<br /><br />Most noteworthy was the wonderful narrative role of veteran actor Woody Strode (from Once Upon A Time In The West), who's own life was a barrier-breaker, within the context of a previous era not yet completed faded from memory. No other actor could have done this role better. Read the mini-bio on Woody Strode here as a primer: http://imdb.com/name/nm0834754/bio <br /><br />The film does a good job of balancing action with a bit of sardonic humour. The dialog was excellent if a bit contemporary! And as others have mentioned the profanity was not accurate to that period. The sex scene was a bit much -- not really needed. There are some historical inaccuracies such as the seeming electronic branding of the cattle etc. But Posse is a good effort to hopefully open the door for more historical and creative works reflective of other untold stories and events. The actual photos of real cowboys at the end credits was very nice touch.",1
"It's just stories, some we wish happen to us, some we wish never happen to us, all about unfulfilled desire. The locations and nude bodies are beautiful, but after the second story all I could think was 'it takes more than just beauty to create a real film'. Then of course the film unfolds. The stories are moving except Sophie Marceau fails to communicate her story in this film. Malkovich plays the story for both of them though. The voiceover fails to link the stories but helps Malkovich to provoke some thought.<br /><br />I'd say it is worth seeing and the best of Antonioni I have seen. Given his age - remarkable!",1
"Rita Hayworth is just stunning at times and, for me, the only reason to watch this silly film. Despite the overdone 1940s lipstick, Rita was one of the all-time glamor women of Hollywood. In fact, for a couple of years I can't imagine anyone that looked better, except maybe Elizabeth Taylor in her prime.<br /><br />Anyway, the co-star of the show, Gene Kelly, does not play his normal likable, at least the kind of guy we all know him from in ""Singin' In The Rain."" Here, Kelly's ""Danny McGuire"" pouts much of the time. Phil Silvers, who I loved on TV at ""Sgt. Bilko,"" is so stupid in here as ""Genius"" you will just cringe listening to his dumb jokes....and they are stupid.<br /><br />The visuals are good with great Technicolor, which almost looks terrific. You get to see a lot of pretty women in here, too, not just Hayworth. Unfortunately, the story isn't all that much. It centers around Hayworth deciding about a career choice. Along the way, we get the normal shabby treatment of marriage and we get an insultingly-dumb ending. All in all, an unmemorable film, except as a showcase for Hayworth's beauty.",0
"this has to be one of the best and most useful shows on TV. keys to the v.i.p. demonstrates some of the best seduction techniques and the humor that goes along with the techniques that are not up to par. to the person who wrote the negative comment, i only have one thing to say. stop hating on us because we are better looking and have more game then you. have you ever seen the inside of a club or do you just watch it on TV. and your so called female friend. she is not attracted to us because if guys like me saw her in the club, we would just walk right by and talk to the hot girls, like the ones on the show.<br /><br />STOP HATING watch keys to the V.I.P. and improve your game",1
"Watching beautiful women sneaking around, playing cops and robbers is one of the most delightful guilty pleasures the medium film lets me enjoy. So The House on Carroll Street was not entirely a waste of time, although the story is contrived and the screenplay uninspired and somewhat irritating.<br /><br />There are many allusions to different Hitchcock pictures, not least the choice of Kelly McGillis in the starring role. She is dressed up as Grace Kelly, and she is not far off the mark. Not at all. But her character is not convincing. The way she is introduced to the audience, she should be someone with political convictions and a purpose in life. After all the movie deals with a clearly defined time period, true events and a specific issue. But the story degenerates within the first minutes into a sorry run-off-the-mill crime story with unbelievable coincidences, high predictability and a set of two dimensional characters. This is all the more regrettable, as the performances of the actors are good, as are the photography and the set design.<br /><br />The finale in Central Station, New York is breath taking. It starts in the subterranean section and then moves up to the roof. The movie can be praised for its good use of architecture.",0
"I was in the film too, but i don't know if they actually put this scene in. On the way back from a school trip (in 2005) we stopped at a service station at the same time as they were doing the film, and we were asked (the whole of us) to run in and shout Go! Freebird! We were all around 10 years old, could anyone who has seen the film tell me if that part was actually kept in the film, it would be great to know! I remember I thought the film had never come out, because it was another 2 and a half years before it was released. All of your comments seem to be good so I'm guessing it has been quite a successful film, I might buy it, but first I would like to know if I'm in it! :D Thank you",1
"Along with ""King of the Rocket Men"", this was still being repeated on BBC TV in the early to mid eighties. If I was loading up a time capsule of this period both these series would definitely go in.<br /><br />Someone watching it for the first time will think it is silly but this is one of the best examples of the ""Serials"". Don Del Oro will make you laugh (When I was little my nickname for him was Mr Dustbin head) and it was funny upon being shot at he says ""Your bullets can't harm me"" then he stumbles back, seemingly less than happy. I also like the way he dispenses with Sebastian in the first episode.<br /><br />I watched this again because I had good memories of it from years back, there are some good stunts and good music, it has the ingredients you expect including water,rockfalls,runaway carts... Apart from the first episode(with Ralph Faulkner)the swordplay wasn't nearly as good as I remembered it, and yes it features the inevitable ""flashback"" episode! It gets 8 out of 10 because it still suffers from slow pace, padding and the other tricks. If you are interested in these serials I recommend the book by William Witney, ""In a Door, Into a Fight, Out a Door, Into a Chase"" although there is only a small entry about this series in it.",1
"The biggest National Lampoon hit remains ""Animal House"", and rightly so. It was funny, raucous and good-natured.<br /><br />The exact opposite of every other National Lampoon film. Including ""Class Reunion"".<br /><br />PLEASE do not be fooled by the inclusion of Stephen Furst (""Flounder"") from ""Animal House"". Or by the fact that John Hughes wrote this jumbled mess. This reunion is about as hilarious as root canal and twice as painful.<br /><br />One star, and that's being generous. Then again, I always thought most of my old classmates were demons, vampires and serial killers, too.",0
"If you like stupid jokes and a terribly predictable storyline, then perhaps this movie is for you. Courtney Thorne-Smith, Jack Warden, and several other members of the supporting cast actually have talent, but it was completely stifled by the paper-thin script. This is a generally boring and joyless time waster of a movie.",0
"Bears about as much resemblance to Dean Koontz's novel as Jessica Simpson does to a rocket scientist. If you've read the book, I suggest you put it as far out of your mind as possible before watching the movie.<br /><br />Watchers is your typical ""Boy meets dog, dog turns out to be super-intelligent government lab experiment, dog and boy are pursued by super-intelligent and emotionally disturbed monster created by same lab, and, oh yeah, did I mention the shady government agents pursuing the monster pursuing the dog?"" movie.<br /><br />Corey Haim is the boy, Barbara Williams is his mother, Michael Ironside is one of the evil government guys, and Sandy the dog is, well, the dog (named Furface here; Einstein in the book).<br /><br />The monster effects are ridiculously cheesy, much of the dialogue is laughable, the script rarely makes sense or is believable - a good example is Haim's character's unquestioning acceptance of the dog's intelligence, as if every Fido off the street can type messages on a computer keyboard or bark once for yes and twice for no! Hmm, it's gotta be the puppy chow, right? Haim's performance is enthusiastic but shaky, as he carries off the stupid dialogue with the least amount of skill. Ironside has been the highlight of many a bad movie, and this is no exception. He easily gives the best performance of the movie, although I'm compelled to add that the dog (who's a pretty darn good actor himself!) comes in a close second.<br /><br />All in all, an atrociously dumb movie, and yet . . . And yet I watched it three times within a week. And yet I can't help liking it. Hey, what can I say, I have a taste for junk - and Michael Ironside (not that I've ever actually tasted Michael Ironside- I'm sure there are laws against that). But any movie that can make me laugh that hard (yes, even unintentionally) can't be all bad. Chalk it up to a guilty pleasure, a ""yes I know it's insultingly stupid but I like it anyway"" movie.<br /><br />It's tough for me to rate this. On a normal scale I'm forced to give it a D-, but on my own personal cheese scale, it gets bumped up to an A-.<br /><br />Yeah, I know. I'm weird like that.",1
"Please...if anybody gets the chance to read this BEFORE watching the movie, if it can be called so, refrain from it... do not waste your time!!!! I too watched this film right after finishing the book, and was seriously disappointed... the main character is basically a new made up Fanny, for she shows NO resemblance whatso ever to the book...she's so lively and laughing all the time... if there was one thing the author wanted to set on this was that she was a very shy, introverted character.... please!!!!! All the most important parts of the story, which are supposed to convey to the heppy ending, are simply not taken into account...and the rest made up!!! I think one is better off using the time to either read a little bit of the actual novel or simply do nothing.",0
"""Showtime"" is a funny film starring funnymen Robert DeNiro (Meet the Parents,A Bronx Tale) and Eddie Murphy (Shrek, Dr. Dolittle). The story is this: In the beginning of the movie detective Mitch (Robert DeNiro) and another detective go into a tv store trying to bust some criminals. When the cops arrive, Tray(Eddie Murphy)a cop, tries to arrest Mitch not knowing he's a cop. During this scene loads of funny things happen which catch the eye of tv producer Chase Ritz. She is so excited about their adventures together, she decides to make a tv show called ""Showtime"" starring Tray (the cop) and Mitch (the detective). But that's just the funny part. The rest is strictly suspense and action. There is a foreign man who is selling and making extremely dangerous guns. While playing LAPD on the show and doing it in real life, DeNiro and Murphy have quite an adventure in this story. On a scale of 1-10, I give it a seven or 8.",1
"The history of the FBI, as told from the point of view of Agent Stewart via flashbacks, interwoven with his personal life story. Stewart and Miles (as his wife) are pretty good, as is Hamilton as an earnest agent. The problem is that the episodic nature of the story makes it difficult to get involved. It's like watching bits and pieces of a dozen different movies as we get glimpses of a who's who cast of gangsters. Some of the episodes are too long, some too short, and some just look out of place (Stewart's daughter's school sequence). Overall, it goes on way too long. Nevertheless, it's worth a look for its handsome production values.",1
"I'll put this as plainly as possible for those of you unaware of Bill Hicks' legacy. He was quite simply the greatest stand-up comedian in the world, almost certainly in my opinion the greatest that ever lived (his stand-up idol being the great Richard Pryor, whose battles with addiction he paralleled). His death in 1994 went barely noticed in the popular media, coming just weeks after Kurt Cobain had committed suicide. His tragic death at such a young age eclipses any sense of the injustice that he was criminally ignored during his life, of course. But the harsh truth is clear as day: nobody has stepped up to claim his mantle. There is not a stand-up comedian alive with nearly the skill and invention.<br /><br />The observation is made in the affectionate tribute `It's just a ride' that stand-up comedians often view the job as a stepping stone to richer pursuits - lame movies and morally-driven sitcoms, made to occupy - but never enrich - the lives of an unimaginative audience. It's everything that Bill Hicks spoke against. His sermon was always a rallying cry for people think for themselves, to scrutinise authority, to come together as one race.<br /><br />His appeal continues to grow with every passing year since his death. His star will continue to shine long after so many lesser lights have blew out. Once you've been exposed to his brilliant, intelligent, but ultimately compassionate output, you will be enriched and rewarded.<br /><br />The man himself was fond to quote Dylan: `To live outside the law you must be honest', he said. Bill Hicks was honest, beyond that he was the funniest of them all.",1
"Gary Busey's best performance in a nicely-flowing biography. Since had a musical background, he was able to do his own songs and it really works. It's always good to see that fine actor, Don Stroud (one of the crickets) and Charlie Martin Smith as well.<br /><br />An 8 out of 10. Best performance = Gary Busey. Thankfully, Mr. Busey was Oscar-nominated for this, losing to Jon Voight in COMING HOME. A fairly low-budget flick that doesn't disappoint, with GREAT SONGS by Mr. Holly. I hope this made plenty of dough. Busey was never this popular again for varying reasons, but thankfully he has this one great one on his resume.",1
"This movie is one of the worst comedy movies i have ever seen. I hate these Napoleon Dynamite rip-offs. Just face it people the dumb humor has been mastered already. Make something new for once. All these new comedies are just horrible. And coming out of SNL Andy Samberg is not ready for a lead role yet. I hope he can bounce back from this awful movie. And Will Arnetts character is just plain bad. Hey Will, did you read the script. The plot is truly the worst ever written. Now you tell me if this is weird. (this is the movie) Rod Kimble's step dad Frank is dying and the family needs $50,000 to pay for the heart surgery so Rod is planning this huge jump to raise money for Frank. Only so that Rod can beat Frank in a fight and prove his manliness. Yes thats the movie, you tell me, would u spend $7.00 to see that piece of crap!<br /><br />3/10 just horrible<br /><br />-adam",0
"Great battle finale and nice sets help keep this often-slow movie enjoyable. At times it had me checking my watch, although there were enough memorable moments to make the film stand out in my mind days after watching it. The ending should surprise even those familiar with the Nibelungen story line.",1
"Only three words are really required for this review: Piece of crap.<br /><br />If you enjoyed watching the cartoon as a child, you will find this movie to be a complete waste of your time and money. The best thing about your two hours in the auditorium will be your feet sticking to the floor.<br /><br />Yes, they do use all of the names and catch phrases. The even name the dog ""Shoeshine"" (in reference to the dog being ""Shoeshine Boy"" in the cartoon). They name the love interest Polly, but she isn't Miss Sweet Polly Purebred.<br /><br />My wife and son drug me to see this. They should have drugged me to see it.<br /><br />The original Underdog was voiced by Wally Cox, the ultimate nerd. This one is voiced by someone with a ""smart alleck teenager that knows more than all the adults"" attitude.<br /><br />As a stand alone movie, it is awful. As an homage to Underdog, it is even worse. It is not an homage. It is not a retelling of the story. It is not an updating of the story. It is purely an attempt to cash in on a known title and create merchandising. The next time I go to the store, I fear that I will see Underdog toys, pajamas, towels, sheets, clothing, etc. McDonalds and Burger King probably fought over the kid's meal rights for this.<br /><br />The worst part of this movie, however, is the soundtrack. THEY DO THE UNDERDOG THEME SONG TO RAP (read that with a silent ""C"" at the beginning)! Great, now that we are going to destroy something, let's go all the way.<br /><br />I knew that it would probably be bad before I went. My fears were confirmed when I arrived at my local 12 plex and found that they opened it for the first day and first showing in their smallest auditorium (and one of only four without stadium seating). Even the theatre people knew it was going to be garbage! Save your money on the tickets and invest it better by going out and buying the original series on DVD. It will be more entertaining and have better production values.",0
"When you get your hands on a British film you expect some sort of quality. And when it comes to acting, camera work, lighting etc; this film does the business. It's done by highly skilled craftsmen. That alone can bring you an enjoyable one and a half hours. But when you look under the layers of professionalism, you don't really find anything. Apart from making you feel good and advocate a drug liberal view, there's really nothing there. The script is mediocre, the plot is predictable and the ending must be one of the worst east of Hollywood. In all it's English cosiness, it's just a shameful and cynical attempt to make another ""Full Monty"". Why they made this film? I haven't got a clue, apart from making money of course.",0
"""Chips"" is an excellent blend of music, light comedy and drama with a picture perfect performance by Peter O' Toole and and effortless romantic supporting performance by Petula Clark. O' Toole is able to show the shy, uncommunicative teacher that wishes so much to be loved by his students and is only able to express his love when he married Katherine (Clark). She brings him the world ""What a lot of flowers"" and he is forever changed. He becomes the beloved headmaster of Brookfield through tragedy but knows he could only have achieved his goal through Katherine's love. The songs (with the exception of the Music hall number) are all ""thought-songs"" coming from character's emotions and thoughts and, the more you listen to them, the more beautiful they become - ""Walk through the World with Me"" and ""You and I"". O'Toole's finest moment is the final speech he gives to the students (it was the reason for the Oscar nomination). As a teacher, we question what ""book"" learning ever gets through - but, as Chips says, we did teach them how to behave with each other and that is what really counts. Beautifully filmed, perfectly orchestrated by John Williams and one of the most moving films about love and how it can change you. ""Did I Fill the World with Love?"" the boys sing their school song. By the end, Chips realizes he was able to do it - but only cause Catherine was there.",1
"The prerequisite for making such a film is a complete ignorance of Nietzche's work and personality, psychoanalytical techniques and Vienna's history. Take a well-know genius you have not read, describe him as demented, include crazy physicians to cure him, a couple of somewhat good looking women, have his role played by an actor with an enormous mustache, have every character speak with the strongest accent, show ridiculous dreams, include another prestigious figure who has nothing to do with the first one (Freud), mention a few words used in the genius' works, overdo everything you can, particularly music, and you are done. Audience, please stay away.",0
"To be entirely frank, the popularity of this show saddens me. Inuyasha is certainly not terrible - it has a few good moments, the occasional flash of clever humour, and, unlike so many animes, dignity. However, it is utterly lacking in the essential elements of a worthwhile story. From the start, its premise dooms it to be stereotypical. The main plot centers around collecting the pieces of a shattered jewel before they can be possessed by evil, and is, as one would suspect, a totally generic epic fantasy affair. The story follows a familiar pattern of fighting off various enemies for pieces of the jewel, and is thus quite predictable, lacking in complexity, and easy to lose interest in. But as so many animes have shown, a poor premise can be rescued by deep, realistic characters. Sadly, no one rescues the story of Inuyasha. Kagome, the main character, is the stereotypical anime heroine (and far too reminiscent of Akane, the main character of the original comic author's previous work Ranma 1/2); she is kind to other females, but treats many males, especially her love interest, with unfair, unabashed, unjustifiable brutality. Inuyasha is a tough-on-the-outside-but-sweet-on-the-inside type, and Miroku is the lamentable stock character of ""the pervert"".<br /><br />The flaws continue with what happens to this plot and these characters - namely, nothing. Despite constant action, the story does not progress. Despite regular romantic moments, neither does the main relationship. Despite ample time, the characters never really change. And to add a cherry to the sundae of mediocrity, all this stagnation is stretched into approximately 150 episodes.<br /><br />My final criticism of this anime is the animation. While certainly not ugly, it displays almost disrespectful laziness on the part of the creators. The animators seem to take joy in long scenes of Inuyasha jumping through the air with wind whistling in which they have little to do but move a background.<br /><br />In short, with all the beautiful animations of the world at one's keyboard-perched fingertips, there is absolutely no reason to watch Inuyasha.",0
